"","COUNTRY","COUNTRYCODE","YEAR","avg_hh_size"
"1","Argentina","ARG",1970,3.78417836498761
"2","Argentina","ARG",1980,3.85666992875476
"3","Argentina","ARG",1991,3.5989924845752
"4","Argentina","ARG",2001,3.5657996726814
"5","Argentina","ARG",2010,3.25859003619884
"6","Bolivia","BOL",1976,4.35418689378719
"7","Bolivia","BOL",1992,4.34622597280825
"8","Bolivia","BOL",2001,4.09043152918573
"9","Bolivia","BOL",2012,3.51338949939448
"10","Brazil","BRA",1970,5.13011320728311
"11","Brazil","BRA",1980,4.65471287736896
"12","Brazil","BRA",1991,4.18825902840011
"13","Brazil","BRA",2000,3.75921028300335
"14","Brazil","BRA",2010,3.31014509215502
"15","Chile","CHL",1970,5.04234503056636
"16","Chile","CHL",1982,4.49696485558227
"17","Chile","CHL",1992,3.97592490269775
"18","Chile","CHL",2002,3.57642542986666
"19","Chile","CHL",2017,3.05301571910852
"20","Colombia","COL",1973,5.68747467715152
"21","Colombia","COL",1985,5.0610396593861
"22","Colombia","COL",1993,4.49076564711735
"23","Colombia","COL",2005,3.83079334741658
"24","Costa Rica","CRI",1973,5.59334744481403
"25","Costa Rica","CRI",1984,4.6923166903866
"26","Costa Rica","CRI",2000,3.9577790028813
"27","Costa Rica","CRI",2011,3.46142664480857
"28","Dominican Republic","DOM",1981,5.08835015984268
"29","Dominican Republic","DOM",2002,3.90110425980868
"30","Dominican Republic","DOM",2010,3.52375462290566
"31","Ecuador","ECU",1974,5.37114094965861
"32","Ecuador","ECU",1982,5.06416419531215
"33","Ecuador","ECU",1990,4.67806017256373
"34","Ecuador","ECU",2001,4.19169405749465
"35","Ecuador","ECU",2010,3.77979891294363
"36","El Salvador","SLV",1992,4.62455999927235
"37","El Salvador","SLV",2007,4.06997716976167
"38","Guatemala","GTM",1973,4.99965164683957
"39","Guatemala","GTM",1981,5.19589183567343
"40","Guatemala","GTM",1994,5.2104059606227
"41","Guatemala","GTM",2002,5.08322769713078
"42","Haiti","HTI",1971,4.60329236451633
"43","Haiti","HTI",1982,4.74150762655663
"44","Haiti","HTI",2003,4.67687027373943
"45","Honduras","HND",1974,5.67316158486874
"46","Honduras","HND",1988,5.5234489817342
"47","Honduras","HND",2001,4.99519667233382
"48","Honduras","HND",2013,4.40396225844406
"49","Jamaica","JAM",1982,4.2700027069879
"50","Jamaica","JAM",1991,3.89038073090829
"51","Jamaica","JAM",2001,3.44487151250033
"52","Mexico","MEX",1970,5.8342787486724
"53","Mexico","MEX",1990,4.90966227245269
"54","Mexico","MEX",2000,4.285145306886
"55","Mexico","MEX",2010,3.90156944234389
"56","Mexico","MEX",2020,3.58739736277512
"57","Nicaragua","NIC",1971,5.86420256659659
"58","Nicaragua","NIC",1995,5.78011919965943
"59","Nicaragua","NIC",2005,4.91879114990047
"60","Panama","PAN",1970,4.86364083237752
"61","Panama","PAN",1980,4.68804389866564
"62","Panama","PAN",1990,4.38239316239316
"63","Panama","PAN",2000,3.98516979306026
"64","Panama","PAN",2010,3.67034059379984
"65","Paraguay","PRY",1972,5.41636389044159
"66","Paraguay","PRY",1982,5.13416880411768
"67","Paraguay","PRY",1992,4.76272325048067
"68","Paraguay","PRY",2002,4.62631051391109
"69","Peru","PER",1993,4.57746156671389
"70","Peru","PER",2007,4.00923023156286
"71","Peru","PER",2017,3.46453452703409
"72","Suriname","SUR",2012,3.82104438270286
"73","Trinidad and Tobago","TTO",1970,4.72812192723697
"74","Trinidad and Tobago","TTO",1980,4.48667691519344
"75","Trinidad and Tobago","TTO",1990,4.11235219210478
"76","Trinidad and Tobago","TTO",2000,3.67092347592003
"77","Trinidad and Tobago","TTO",2011,3.29302035493565
"78","Uruguay","URY",1975,3.41728770531978
"79","Uruguay","URY",1985,3.33566222901966
"80","Uruguay","URY",1996,3.19542099465714
"81","Uruguay","URY",2011,2.79574953023871
"82","Venezuela","VEN",1971,5.26892265257293
"83","Venezuela","VEN",1981,5.26206153301051
"84","Venezuela","VEN",1990,4.80336418086897
"85","Venezuela","VEN",2001,4.33113951291103
"86","Bolivia","BOL",2024,3.07257670382655
